"Bird.Count" "Lat" "Lon" "month" "year"
"4850" 4 25.3569833333333 -80.80655 4 1996
"4851" 2 25.357 -80.7967166666667 4 1996
"4852" 0 25.3570166666667 -80.7867166666667 4 1996
"4853" 0 25.3570166666667 -80.7768833333333 4 1996
"4854" 0 25.357 -80.7669833333333 4 1996
"4855" 4 25.3569833333333 -80.7572 4 1996
"4858" 0 25.3480333333333 -80.8064833333333 4 1996
"4859" 0 25.3480333333333 -80.79665 4 1996
"4860" 1 25.3480333333333 -80.78665 4 1996
"4861" 0 25.3480333333333 -80.7768333333333 4 1996
"4862" 2 25.3480333333333 -80.7669 4 1996
"4863" 4 25.348 -80.7571666666667 4 1996
"4865" 0 25.339 -80.8163666666667 4 1996
"4866" 1 25.339 -80.8064 4 1996
"4867" 0 25.3390166666667 -80.79655 4 1996
"4868" 0 25.3390166666667 -80.7865333333333 4 1996
"4869" 5 25.33905 -80.7767166666667 4 1996
"4870" 1 25.3390333333333 -80.76685 4 1996
"4871" 2 25.3390333333333 -80.7571666666667 4 1996
"4873" 1 25.3300666666667 -80.8162833333333 4 1996
"4874" 1 25.3300833333333 -80.8063 4 1996
"4875" 3 25.3300833333333 -80.79645 4 1996
"4876" 1 25.3300833333333 -80.7864666666667 4 1996
"4877" 1 25.3301 -80.7766333333333 4 1996
"4878" 5 25.3301 -80.7667333333333 4 1996
"4879" 2 25.3300833333333 -80.75715 4 1996
"4881" 0 25.3209833333333 -80.8161833333333 4 1996
"4882" 0 25.3209833333333 -80.8062 4 1996
"4883" 0 25.3209833333333 -80.7963666666667 4 1996
"4884" 2 25.3209666666667 -80.78635 4 1996
"4885" 2 25.3209833333333 -80.7765333333333 4 1996
"4886" 2 25.321 -80.76665 4 1996
"4887" 2 25.3209333333333 -80.75725 4 1996
"4888" 0 25.3120333333333 -80.8161 4 1996
"4889" 0 25.3120333333333 -80.8061 4 1996
"4890" 1 25.312 -80.7962666666667 4 1996
"4892" 0 25.312 -80.77645 4 1996
"4893" 4 25.3120166666667 -80.7665666666667 4 1996
"4894" 2 25.3119666666667 -80.7572333333333 4 1996
"4895" 0 25.3030166666667 -80.8060166666667 4 1996
"4896" 0 25.3030333333333 -80.7962166666667 4 1996
"4897" 3 25.3030166666667 -80.7862 4 1996
"4898" 0 25.3030166666667 -80.7763833333333 4 1996
"4899" 3 25.3030166666667 -80.7664833333333 4 1996
"4900" 0 25.3030666666667 -80.75725 4 1996
"4901" 0 25.2939833333333 -80.79615 4 1996
"4903" 1 25.2939833333333 -80.7763333333333 4 1996
"4904" 0 25.2939833333333 -80.7664333333333 4 1996
"4905" 1 25.294 -80.7572166666667 4 1996
"4907" 0 25.4282 -80.78655 4 1996
"4910" 0 25.42815 -80.7573666666667 4 1996
"4911" 0 25.41905 -80.7966833333333 4 1996
"4912" 0 25.41905 -80.7866333333333 4 1996
"4913" 0 25.4190333333333 -80.7768666666667 4 1996
"4914" 0 25.4190333333333 -80.7668833333333 4 1996
"4915" 0 25.419 -80.7573833333333 4 1996
"4916" 0 25.3748666666667 -80.7473666666667 4 1996
"4917" 3 25.3748166666667 -80.7374333333333 4 1996
"4918" 0 25.3747333333333 -80.7274 4 1996
"4919" 0 25.37495 -80.7175333333333 4 1996
"4920" 0 25.36595 -80.74735 4 1996
"4921" 0 25.36595 -80.7374 4 1996
"4922" 0 25.36595 -80.7273833333333 4 1996
