SUID,CITY,STAID,sname,AnnMeanT,AnnMeanP,AnnMaxT,AnnMinT,AnnMaxP,AnnMinP,DAkm2,MIN_ELEV,MAX_ELEV,MEANELEV,RELIEF,AWCH,AWCL,CLYAVE,KFCAVE,ORMH,ORML,SOC100CM,SOC30CM,DomEcoReg
SPLT,DEN,403048105042701,"Fossil Cr at College Ave, at Ft Collins, CO",9.374093,40.48161,21.56,-1.79,7.11,1.18,26.6805,1503.5658,1806.1409,1571.3597,302.5751,0.152,0.123,22.012,0.299,0.686,0.238,2209,1689,ECO_25
SPLT,DEN,403308105001601,"Boxelder Creek at mouth, nr Fort Collins, CO",8.296503,39.4683,20.61,-2.62,6.91,1.09,558.6399,1483.4812,2275.1553,1727.9602,791.6741,0.136,0.108,16.4125,0.2505,0.681,0.238,3198.119,2088.433,ECO_25
SPLT,DEN,403356105024001,"Spring Creek at Edora Park, at Ft Collins, CO",9.409401,39.82141,21.63,-1.74,7.04,1.10,22.5774,1497.9578,1798.45,1564.3484,300.4922,0.151,0.121,24.695,0.2695,0.969,0.341,4772.591,3130.182,ECO_25
SPLT,DEN,410714104480101,"Crow Cr abv Morrie Ave, at Cheyenne, WY",6.491912,42.80828,18.68,-3.88,7.27,1.24,509.0166,1833.4243,2342.8555,2023.5734,509.4312,0.132,0.103,13.6615,0.2595,0.757,0.313,3384.872,2312.119,ECO_25
SPLT,DEN,413659104370001,"Bear Cr abv Little Bear Cr, nr Phillips, WY",7.130457,45.83444,19.45,-3.50,8.31,1.47,458.5887,1574.0262,2155.0405,1837.3214,581.0143,0.126,0.089,13.368,0.2185,0.666,0.261,3556.336,2796.468,ECO_25
TRIN,DFW,08049490,"Johnson Ck nr Duncan Perry Rd, Grand Prairie, TX",18.49495,98.61974,29.11,7.14,14.35,4.75,43.22689972,140.579,211.3297,183.5484,70.7507,0.174,0.116,49.557,0.324,1.734,0.543,10679.906,4581.635,ECO_32
TRIN,DFW,08049580,"Mountain Ck nr Venus, TX",18.39979,97.18565,28.82,7.17,13.19,4.94,51.95515928,182.7515,256.864,215.9028,74.1125,0.178,0.114,51.592,0.32,2.061,0.596,11030,5271,ECO_32
TRIN,DFW,08049955,"Fish Ck at Belt Line Rd, Grand Prairie, TX",18.5154,99.15717,29.08,7.19,14.38,4.83,58.27473,139.8882,211.9095,176.6394,72.0213,0.178,0.119,49.945,0.324,2.005,0.543,12124,5056.5,ECO_32
TRIN,DFW,08052740,"Doe Branch at Fishtrap Rd nr Prosper, TX",17.83507,109.8724,28.79,6.24,15.82,4.98,94.534562,164.4304,246.9267,196.3107,82.4963,0.177,0.114,50.992,0.319,2.061,0.602,11105.647,5221.776,ECO_32
TRIN,DFW,08057200,"White Rock Ck at Greenville Ave, Dallas, TX",17.95738,105.1171,28.69,6.50,15.16,4.67,173.0111984,143.5488,238.5004,197.4076,94.9516,0.177,0.114,51.135,0.319,2.044,0.595,10723.608,5142.543,ECO_32
