"","city","suid","sample","agr","a_temp","a_prec","richtol","nuii"
"41","RAL","ALBE",2087580,3.148854962,15.35956,119.1059,6.828541667,38.12212291
"42","RAL","ALBE",208758440,8.388520971,15.43043,119.8185,6.145238095,22.2098767
"43","RAL","ALBE",208794025,22.42990654,15.44461,120.363,5.985271318,11.68153879
"44","RAL","ALBE",209517912,0.205761317,14.6278,120.2773,7.394516129,56.70585931
"45","RAL","ALBE",209647280,10.56910569,14.66705,118.7583,6.518,33.67136138
"46","RAL","ALBE",209647295,0.796812749,14.69931,118.7724,7.039649123,58.09717944
"47","RAL","ALBE",209651815,2.631578947,14.70288,120.0816,6.720162602,48.45816469
"48","RAL","ALBE",209665940,27.11111111,14.69126,118.6557,5.515519126,10.11983032
"49","RAL","ALBE",209665990,37.0887338,14.64323,118.4908,5.511190476,5.397745201
"50","RAL","ALBE",209679804,4.296604297,14.69357,119.8014,6.532807018,43.73165506
"51","RAL","ALBE",209695780,8.559046587,15.28426,119.0498,5.636540881,3.957466165
"52","RAL","ALBE",209697900,13.39130435,15.25652,118.74,5.5764,6.297844852
"53","RAL","ALBE",2097355,5.043478261,15.07836,118.4747,6.111176471,29.39323672
"54","RAL","ALBE",2097464,19.3236715,14.91673,121.0573,5.587238095,6.473220728
"55","RAL","ALBE",209750881,9.604519774,15.17389,118.5244,5.573796296,18.46947032
"56","RAL","ALBE",2099238,6.204906205,14.73384,119.0822,6.357801418,33.09308015
"57","RAL","ALBE",2099480,5.467511886,14.85717,117.9969,6.170833333,38.88989256
"58","RAL","ALBE",2100295,6.808510638,15.18225,121.9814,6.97141844,29.09538441
"59","RAL","ALBE",2100634,11.14599686,15.24972,121.6053,6.104097222,21.00999464
"60","RAL","ALBE",211583580,1.030927835,14.3771,119.7903,6.836818182,55.81926823
"61","SLC","GRSL",10167800,0.8856021,10.45031,68.1701,6.088235294,69.99306582
"62","SLC","GRSL",400927111354501,28.254383,9.762599,64.2524,4.653061224,24.18330197
"63","SLC","GRSL",400959111363201,25.617183,9.852899,63.764,5.942857143,29.59354766
"64","SLC","GRSL",401442111402201,3.6244007,10.19271,57.0811,6.380952381,54.39406071
"65","SLC","GRSL",401653111400301,6.0869567,9.744991,59.9334,4.890909091,30.03927106
"66","SLC","GRSL",401850111392201,0.3399709,9.317397,63.2929,4.508196721,15.44227945
"67","SLC","GRSL",403707111463701,0,9.77768,75.1833,4.14,16.17361217
"68","SLC","GRSL",403755111514201,0.6401795,10.61287,66.2479,6.707317073,74.10108913
"69","SLC","GRSL",403927111523601,0.3022749,10.9197,63.342,6.620689655,85.34035506
"70","SLC","GRSL",403945111501001,0.09244423,10.67912,65.4072,6.655172414,65.29099755
"71","SLC","GRSL",404000111515801,0.05065856,10.95766,62.8354,6.333333333,77.33029665
"72","SLC","GRSL",404140111481601,5.350773,10.32838,66.4805,5.333333333,64.22440298
