volume	n.cT	Ev.ID	MSrcCat	M.WTP.Type	ICR.PWSID
10.5	0	8818	SW	Y	AL0000548
11	0	8818	SW	Y	AL0000548
10.5	0	8818	SW	Y	AL0000548
10.5	0	8818	SW	Y	AL0000548
11	0	8818	SW	Y	AL0000548
10.75	0	8818	SW	Y	AL0000548
10.25	0	10714	SW	Y	AL0000577
11	0	10714	SW	Y	AL0000577
10	0	10714	SW	Y	AL0000577
10.25	0	10714	SW	Y	AL0000577
10.5	0	10714	SW	Y	AL0000577
10.5	0	10714	SW	Y	AL0000577
10	0	10714	SW	Y	AL0000577
10.25	0	10714	SW	Y	AL0000577
10.7	0	10714	SW	Y	AL0000577
10.25	0	10714	SW	Y	AL0000577
11	0	10714	SW	Y	AL0000577
10.5	0	10714	SW	Y	AL0000577
10	0	10714	SW	Y	AL0000577
10	0	10511	SW	Y	AL0000596
10.5	0	10511	SW	Y	AL0000596
10.75	0	10511	SW	Y	AL0000596
11.25	0	10511	SW	Y	AL0000596
11	0	10511	SW	Y	AL0000596
10.5	0	10511	SW	Y	AL0000596
11	0	10511	SW	Y	AL0000596
11.25	0	10511	SW	Y	AL0000596
10.25	0	10511	SW	Y	AL0000596
11	0	10511	SW	Y	AL0000596
10.5	0	10511	SW	Y	AL0000596
10.75	0	10511	SW	Y	AL0000596
10	0	10511	SW	Y	AL0000596
10	0	10511	SW	Y	AL0000596
10	0	10511	SW	Y	AL0000596
10	0	10511	SW	Y	AL0000596
10.75	0	10511	SW	Y	AL0000596
10.25	0	10511	SW	Y	AL0000596
10.5	0	10508	SW	Y	AL0000597
10	0	10508	SW	Y	AL0000597
10	0	10508	SW	Y	AL0000597
10	0	10508	SW	Y	AL0000597
10	0	10508	SW	Y	AL0000597
10	0	10508	SW	Y	AL0000597
10.25	0	10508	SW	Y	AL0000597
11	0	10508	SW	Y	AL0000597
10.25	0	10508	SW	Y	AL0000597
10	0	10508	SW	Y	AL0000597
10.25	0	10508	SW	Y	AL0000597
10.25	0	10508	SW	Y	AL0000597
10	0	10508	SW	Y	AL0000597
10.5	0	10508	SW	Y	AL0000597
11	0	10508	SW	Y	AL0000597
10	0	10508	SW	Y	AL0000597
10.25	0	10508	SW	Y	AL0000597
10	0	10508	SW	Y	AL0000597
10.5	0	10512	SW	Y	AL0000607
11.25	0	10512	SW	Y	AL0000607
11	0	10512	SW	Y	AL0000607
11	0	10512	SW	Y	AL0000607
11	0	10512	SW	Y	AL0000607
10	0	10512	SW	Y	AL0000607
11	0	10512	SW	Y	AL0000607
10.75	0	10512	SW	Y	AL0000607
10.5	0	10512	SW	Y	AL0000607
10.75	0	10512	SW	Y	AL0000607
10.5	0	10512	SW	Y	AL0000607
11.25	0	10512	SW	Y	AL0000607
11	0	10512	SW	Y	AL0000607
11	0	10512	SW	Y	AL0000607
11	0	10512	SW	Y	AL0000607
11.5	0	10512	SW	Y	AL0000607
11	0	10512	SW	Y	AL0000607
10.5	0	10512	SW	Y	AL0000607
11	0	10512	SW	Y	AL0000607
10.5	0	8775	SW	Y	AL0000610
10.25	0	8775	SW	Y	AL0000610
11	0	8775	SW	Y	AL0000610
10.5	0	8775	SW	Y	AL0000610
11	0	8775	SW	Y	AL0000610
11.25	0	8775	SW	Y	AL0000610
11	0	8775	SW	Y	AL0000610
11	0	8775	SW	Y	AL0000610
10.5	0	8775	SW	Y	AL0000610
11.25	0	8775	SW	Y	AL0000610
11.25	0	8775	SW	Y	AL0000610
11	0	8775	SW	Y	AL0000610
10.5	0	8775	SW	Y	AL0000610
11.5	0	8775	SW	Y	AL0000610
11	0	8775	SW	Y	AL0000610
11.5	0	8775	SW	Y	AL0000610
10	0	8775	SW	Y	AL0000610
10.5	0	8775	SW	Y	AL0000610
11	0	8775	SW	Y	AL0000610
10.75	0	8775	SW	Y	AL0000610
10.75	0	8775	SW	Y	AL0000610
11.5	0	8775	SW	Y	AL0000610
11.25	0	8775	SW	Y	AL0000610
10.75	0	8775	SW	Y	AL0000610
11	0	8775	SW	Y	AL0000610
11.25	0	8775	SW	Y	AL0000610
11.5	0	8775	SW	Y	AL0000610
10.75	0	8775	SW	Y	AL0000610
11	0	8775	SW	Y	AL0000610
10.75	0	8775	SW	Y	AL0000610
11.25	0	8775	SW	Y	AL0000610
10.5	0	8775	SW	Y	AL0000610
11.25	0	8775	SW	Y	AL0000610
10.25	0	8775	SW	Y	AL0000610
11.25	0	8775	SW	Y	AL0000610
11.25	0	8775	SW	Y	AL0000610
10.5	0	10646	SW	Y	AL0000728
10.25	0	10646	SW	Y	AL0000728
10.5	0	10646	SW	Y	AL0000728
10.5	0	10646	SW	Y	AL0000728
10	0	10646	SW	Y	AL0000728
10.25	0	10646	SW	Y	AL0000728
10.5	0	10646	SW	Y	AL0000728
10	0	10646	SW	Y	AL0000728
10.25	0	10646	SW	Y	AL0000728
10.25	0	10646	SW	Y	AL0000728
10.25	0	10646	SW	Y	AL0000728
10	0	10646	SW	Y	AL0000728
10.25	0	10646	SW	Y	AL0000728
10	0	10646	SW	Y	AL0000728
10	0	10646	SW	Y	AL0000728
11	0	8778	SW	Y	AL0000729
11	0	8779	SW	Y	AL0000729
11	0	8779	SW	Y	AL0000729
10.5	0	8779	SW	Y	AL0000729
10.75	0	8779	SW	Y	AL0000729
11	0	8779	SW	Y	AL0000729
11	0	8779	SW	Y	AL0000729
11	0	8779	SW	Y	AL0000729
10.5	0	8779	SW	Y	AL0000729
10.5	0	8778	SW	Y	AL0000729
10.75	0	8779	SW	Y	AL0000729
10.25	0	8779	SW	Y	AL0000729
10	0	8779	SW	Y	AL0000729
10.25	0	8779	SW	Y	AL0000729
10.5	0	8779	SW	Y	AL0000729
10	0	8779	SW	Y	AL0000729
10.25	5	8779	SW	Y	AL0000729
11.25	0	8778	SW	Y	AL0000729
10.75	0	8778	SW	Y	AL0000729
10.75	0	8778	SW	Y	AL0000729
10.5	0	8778	SW	Y	AL0000729
11	0	8779	SW	Y	AL0000729
10.5	0	8779	SW	Y	AL0000729
10.75	0	8779	SW	Y	AL0000729
10.75	0	8778	SW	Y	AL0000729
10	0	8779	SW	Y	AL0000729
10.75	0	8779	SW	Y	AL0000729
10.5	0	8779	SW	Y	AL0000729
10	0	8779	SW	Y	AL0000729
10	0	8779	SW	Y	AL0000729
10.25	0	8778	SW	Y	AL0000729
10	0	8778	SW	Y	AL0000729
10.75	0	8778	SW	Y	AL0000729
10.25	0	8779	SW	Y	AL0000729
10.5	0	8778	SW	Y	AL0000729
11	0	8779	SW	Y	AL0000729
10.5	0	8779	SW	Y	AL0000729
10	0	8779	SW	Y	AL0000729
10	0	8778	SW	Y	AL0000729
10.5	0	8779	SW	Y	AL0000729
10.5	0	8779	SW	Y	AL0000729
10.5	0	8778	SW	Y	AL0000729
10.25	0	8778	SW	Y	AL0000729
10	0	8779	SW	Y	AL0000729
10	0	8779	SW	Y	AL0000729
10.5	0	8779	SW	Y	AL0000729
