group,crop,carbon,sample.period,fertilizer,n.input,emission,EF,daily.em
20,rice,1.7,111,U,200,0.089,0.0445,0.801801802
20,rice,1.7,97,U,200,0.259,0.1295,2.670103093
20,rice,1.7,97,U,200,0.638,0.319,6.577319588
20,rice,1.7,98,A,120,0.097,0.080833333,0.989795918
20,rice,1.7,111,A,200,0.229,0.1145,2.063063063
21,vegetable,4.2,212,AN,140,1,0.714285714,4.716981132
21,vegetable,4.2,212,AN,140,2.1,1.5,9.905660377
21,vegetable,7.8,212,AN,140,5.6,4,26.41509434
21,vegetable,7.8,212,AN,140,8.6,6.142857143,40.56603774
21,cereal,4,212,AN,70,0.5,0.714285714,2.358490566
21,cereal,6.3,212,AN,70,0.9,1.285714286,4.245283019
21,cereal,4,212,AN,70,1.5,2.142857143,7.075471698
21,cereal,6.3,212,AN,70,5.4,7.714285714,25.47169811
22,rice,1.85,112,U,100,0.467,0.467,4.169642857
22,rice,1.85,112,U,300,0.617,0.205666667,5.508928571
22,rice,1.85,112,none,0,0.137,#DIV/0!,1.223214286
22,rice,1.85,112,A,100,0.175,0.175,1.5625
22,rice,1.85,112,A,300,0.997,0.332333333,8.901785714
23,rice,0.76,108,UA,364.5,1.689984,0.463644444,15.648
23,rice,0.79,108,UA,364.5,1.993248,0.546844444,18.456
23,rice,0.19,108,UA,364.5,4.375296,1.200355556,40.512
24,corn,0.9,8,U,75,0.675,0.9,84.375
24,corn,0.9,8,U,75,0.975,1.3,121.875
24,corn,0.9,64,U,150,2.550,1.7,39.84375
24,corn,0.9,64,U,150,2.850,1.9,44.53125
24,corn,0.9,56,U,200,2.000,1,35.71428571
24,cereal,0.9,134,UM,220,1.320,0.6,9.850746269
24,cereal,0.9,134,U,220,0.660,0.3,4.925373134
25,grass,0.12,365,none,0,0.34,#DIV/0!,0.931506849
25,corn,0.12,365,UM,237,5.2,2.194092827,14.24657534
25,corn,0.12,365,AM,181,3.6,1.988950276,9.863013699
26,cereal,,351,none,0,0.7,#DIV/0!,1.994301994
26,cereal,,351,M,556,11,1.978417266,31.33903134
26,cereal,,351,M,1112,23,2.068345324,65.52706553
26,cereal,,351,M,1668,56,3.357314149,159.5441595
27,none,1.1,124,none,0,0.590,#DIV/0!,4.758064516
27,legume,1.1,124,U,50,1.470,2.94,11.85483871
27,legume,1.1,124,U,100,2.610,2.61,21.0483871
27,legume,1.1,124,none,0,0.800,#DIV/0!,6.451612903
27,legume,1.1,124,none,0,0.910,#DIV/0!,7.338709677
27,legume,1.1,124,M,559,1.630,0.291592129,13.14516129
27,corn,1.1,124,U,150,3.530,2.353333333,28.46774194
27,corn,1.1,124,U,250,5.570,2.228,44.91935484
28,vegetable,0.46,81,U,200,0.0658,0.0329,0.812345679
28,vegetable,0.46,81,U,250,0.056,0.0224,0.691358025
28,vegetable,0.46,81,U,250,0.0853,0.03412,1.05308642
28,vegetable,0.46,81,none,0,0.0122,#DIV/0!,0.150617284
29,grass,1.9,100,none,0,0.67,#DIV/0!,6.7
29,grass,1.9,100,M,492,9.35,1.900406504,93.5
29,grass,1.9,100,AN,200,2.38,1.19,23.8
30,grass,2.75,365,UAN,360,2.94,0.816666667,8.054794521
30,grass,2.75,365,U,360,3.01,0.836111111,8.246575342
30,grass,2.75,365,U,360,5.21,1.447222222,14.2739726
30,grass,2.75,365,none,0,0.04,#DIV/0!,0.109589041
30,grass,2.75,365,none,0,0.26,#DIV/0!,0.712328767
30,grass,2.75,365,N,360,1.63,0.452777778,4.465753425
30,grass,2.75,365,N,360,4.01,1.113888889,10.98630137
30,grass,2.75,365,AN,360,1.5,0.416666667,4.109589041
30,grass,2.75,365,AN,360,4.23,1.175,11.5890411
30,grass,2.75,365,AM,275,0.48,0.174545455,1.315068493
30,grass,2.75,365,AM,275,6.4,2.327272727,17.53424658
30,grass,2.75,365,A,360,0.69,0.191666667,1.890410959
30,grass,2.75,365,A,360,1.28,0.355555556,3.506849315
31,cereal,,13,none,0,0.00001,#DIV/0!,0.000769231
31,cereal,,13,none,0,0.05,#DIV/0!,3.846153846
31,cereal,,21,none,0,0.1,#DIV/0!,4.761904762
31,cereal,,21,none,0,0.2,#DIV/0!,9.523809524
31,cereal,,13,M,84,0.1,0.119047619,7.692307692
31,cereal,,21,M,84,0.2,0.238095238,9.523809524
31,cereal,,21,M,84,0.2,0.238095238,9.523809524
31,cereal,,21,M,84,0.2,0.238095238,9.523809524
31,cereal,,13,M,84,0.3,0.357142857,23.07692308
31,cereal,,13,M,84,0.4,0.476190476,30.76923077
31,cereal,,13,M,84,0.42,0.5,32.30769231
31,cereal,,13,M,84,0.42,0.5,32.30769231
31,cereal,,21,M,84,0.43,0.511904762,20.47619048
31,cereal,,21,M,84,0.5,0.595238095,23.80952381
31,cereal,,13,M,84,0.53,0.630952381,40.76923077
31,cereal,,21,M,84,0.6,0.714285714,28.57142857
32,grass,4,112,M,1000,8,0.8,71.42857143
32,grass,8.3,112,M,1000,10,1,89.28571429
32,grass,7.9,112,M,1000,19,1.9,169.6428571
33,grass,8.7,95,M,500,7.5,1.5,78.94736842
33,grass,8.7,95,M,500,15,3,157.8947368
34,none,,35,none,0,0.03,#DIV/0!,0.857142857
34,none,,35,A,55,0.05,0.090909091,1.428571429
34,none,,35,A,110,0.1,0.090909091,2.857142857
