group,crop,carbon,sample.period,fertilizer,n.input,emission,EF,daily.em
138,tuber,0.82,153,M,175,5.65,3.228571429,36.92810458
138,tuber,0.82,153,M,175,6.41,3.662857143,41.89542484
139,grass,3.1,50,none,0,4.5,#DIV/0!,90.64
139,grass,3.1,50,N,200,6.4,3.2165,128.66
139,grass,3.1,280,AN,295,8.4,2.847457627,30
140,vegetable,,365,none,0,0.22,#DIV/0!,0.602739726
140,vegetable,,365,none,0,1.862,#DIV/0!,5.101369863
140,vegetable,,365,none,0,2.612,#DIV/0!,7.156164384
140,vegetable,,365,AN,51.6,1.476,2.860465116,4.043835616
140,vegetable,,365,AN,51.6,7.993,15.49031008,21.89863014
141,grass,2.9,100,none,0,0.094,#DIV/0!,0.94
141,grass,2.9,100,none,0,0.210,#DIV/0!,2.1
141,grass,2.9,100,none,0,0.296,#DIV/0!,2.96
141,grass,3.2,100,none,0,0.544,#DIV/0!,5.44
141,grass,3.2,100,none,0,4.201,#DIV/0!,42.009
142,other,,365,AN,360,6.23,1.730555556,17.06849315
142,other,,365,AN,360,12.83,3.563888889,35.15068493
142,grass,,365,none,0,1.55,#DIV/0!,4.246575342
142,grass,,365,none,0,2.39,#DIV/0!,6.547945205
143,grass,,365,none,0,2.35,#DIV/0!,6.438356164
143,grass,,365,none,0,4.27,#DIV/0!,11.69863014
143,grass,,365,AN,300,20.28,6.76,55.56164384
143,grass,,365,AN,300,22.62,7.54,61.97260274
144,grass,,365,none,0,0.5,#DIV/0!,1.369863014
144,grass,,365,none,0,1.0,#DIV/0!,2.739726027
144,grass,,365,none,0,1.0,#DIV/0!,2.739726027
144,grass,,365,none,0,1.2,#DIV/0!,3.287671233
144,grass,,365,AN,277,5.0,1.805054152,13.69863014
144,grass,,365,AN,313,3.1,0.990415335,8.493150685
144,grass,,365,AN,424,6.6,1.556603774,18.08219178
144,grass,,365,AN,438,2.6,0.593607306,7.123287671
144,grass,,365,AM,557,10.6,1.903052065,29.04109589
144,grass,,365,AM,726,13.2,1.818181818,36.16438356
144,grass,,365,AM,731,16.1,2.20246238,44.10958904
144,grass,,365,AM,743,7.3,0.982503365,20
145,grass,2.7,28,U,80,0.08,0.1,2.857142857
145,grass,2.7,32,U,80,0.56,0.7,17.5
145,grass,2.7,45,none,0,0.1,#DIV/0!,2.222222222
145,grass,2.7,60,none,0,0.17,#DIV/0!,2.833333333
145,grass,2.7,60,none,0,0.35,#DIV/0!,5.833333333
145,grass,2.7,270,none,0,0.45,#DIV/0!,1.666666667
145,grass,2.7,28,N,80,4.16,5.2,148.5714286
145,grass,2.7,60,N,80,5.03,6.2875,83.83333333
145,grass,2.7,60,N,80,9.39,11.7375,156.5
145,grass,2.7,32,N,80,9.6,12,300
145,grass,2.7,28,M,45,0.045,0.1,1.607142857
145,grass,2.7,28,M,45,0.045,0.1,1.607142857
145,grass,2.7,32,M,45,0.045,0.1,1.40625
145,grass,2.7,32,M,45,0.045,0.1,1.40625
145,grass,2.7,45,AN,50,0.4,0.8,8.888888889
145,grass,2.7,28,AN,80,4.16,5.2,148.5714286
145,grass,2.7,32,AN,80,6.64,8.3,207.5
145,grass,2.7,45,AN,100,1.3,1.3,28.88888889
145,grass,2.7,45,AN,150,1.9,1.266666667,42.22222222
145,grass,2.7,45,AN,200,4.7,2.35,104.4444444
145,grass,2.7,270,AN,220,1.33,0.604545455,4.925925926
145,grass,2.7,45,AN,300,9.4,3.133333333,208.8888889
145,grass,2.7,270,AN,440,2.65,0.602272727,9.814814815
145,grass,2.7,270,AN,660,3.75,0.568181818,13.88888889
145,grass,2.7,270,AN,880,4.85,0.551136364,17.96296296
145,grass,2.7,28,A,80,0.16,0.2,5.714285714
145,grass,2.7,32,A,80,0.8,1,25
145,grass,2.7,60,A,80,1.09,1.3625,18.16666667
145,grass,2.7,60,A,80,1.3,1.625,21.66666667
146,grass,,37,none,0,0.00001,#DIV/0!,0.00027027
146,grass,,37,M,320,7.7,2.40625,208.1081081
146,grass,,27,M,350,3.885,1.11,143.8888889
146,grass,,19,M,555,0.7215,0.13,37.97368421
147,vegetable,3.7,120,AN,100,0.585,0.585,4.875
147,vegetable,3.7,120,AN,100,2.343,2.343,19.525
147,none,3.7,120,none,0,1.163,#DIV/0!,9.691666667
147,none,3.7,120,none,0,1.334,#DIV/0!,11.11666667
147,none,3.7,120,none,0,1.666,#DIV/0!,13.88333333
147,none,3.7,120,none,0,2.627,#DIV/0!,21.89166667
147,none,3.7,120,none,0,3.792,#DIV/0!,31.6
147,none,2.1,120,M,75,3.156,4.208,26.3
147,none,3.7,120,M,90,4.837,5.374444444,40.30833333
147,none,3.7,120,AN,100,0.924,0.924,7.7
147,legume,3.7,120,none,0,0.197,#DIV/0!,1.641666667
147,legume,3.7,120,none,0,1.196,#DIV/0!,9.966666667
147,grass,3.7,120,none,0,0.026,#DIV/0!,0.216666667
147,grass,3.7,120,none,0,0.209,#DIV/0!,1.741666667
147,grass,3.7,120,AN,50,0.084,0.168,0.7
147,corn,3.7,120,AN,100,0.523,0.523,4.358333333
147,cereal,3.7,120,AN,75,0.828,1.104,6.9
147,cereal,3.7,120,AN,75,0.897,1.196,7.475
148,vegetable,3.3,90,none,0,1.07,#DIV/0!,11.88888889
148,vegetable,3.3,365,none,0,3.75,#DIV/0!,10.2739726
148,vegetable,3.3,365,AN,100,1.3,1.3,3.561643836
148,none,3.3,150,none,0,1.59,#DIV/0!,10.6
148,none,3.3,365,none,0,4.02,#DIV/0!,11.01369863
148,none,3.3,90,M,60,2.68,4.466666667,29.77777778
148,none,3.3,365,M,90,5.75,6.388888889,15.75342466
148,legume,3.3,365,none,0,1.61,#DIV/0!,4.410958904
148,grass,3.3,365,none,0,0.00001,#DIV/0!,2.73973E-05
148,grass,3.3,365,none,0,0.26,#DIV/0!,0.712328767
148,grass,3.3,90,AN,50,0.44,0.88,4.888888889
148,corn,3.3,365,AN,100,2.51,2.51,6.876712329
148,cereal,3.3,365,AN,75,1.07,1.426666667,2.931506849
149,none,3.7,150,A,100,1.5,1.5,10
150,corn,,100,U,62.4,0.289,0.463141026,2.89
150,corn,,100,none,0,0.1,#DIV/0!,1
150,corn,,100,none,0,0.109,#DIV/0!,1.09
150,corn,,100,none,0,0.119,#DIV/0!,1.19
150,corn,,100,none,0,0.122,#DIV/0!,1.22
150,corn,,100,AN,62.5,0.196,0.3136,1.96
150,corn,,100,A,46.9,0.403,0.859275053,4.03
150,corn,,100,A,75,0.351,0.468,3.51
151,grass,,63,M,601,0.51085,0.085,8.108730159
151,grass,,63,M,1161,1.13778,0.098,18.06
152,grass,,365,none,0,0.9,#DIV/0!,2.465753425
152,grass,2.3,365,N,400,5,1.25,13.69863014
152,grass,4,365,N,400,7,1.75,19.17808219
153,none,1.47,104,U,160,0.415,0.259375,3.990384615
153,none,1.47,104,U,160,1.143,0.714375,10.99038462
153,none,1.47,104,U,160,1.562,0.97625,15.01923077
153,none,1.47,104,U,160,1.934,1.20875,18.59615385
153,none,1.47,104,A,160,0.951,0.594375,9.144230769
153,none,1.47,104,A,160,1.082,0.67625,10.40384615
154,corn,,180,AN,160,0.340,0.2125,1.888888889
154,cereal,,120,AN,90,0.132,0.146666667,1.1
154,cereal,,150,AN,180,0.353,0.196111111,2.353333333
155,tree,,40,AN,65,2.84,4.369230769,71
156,tree,7.6,39,none,0,0.247,#DIV/0!,6.336
156,tree,7.3,60,none,0,0.405,#DIV/0!,6.744
156,tree,7.6,365,none,0,1.279,#DIV/0!,3.504
156,tree,7.3,365,none,0,1.419,#DIV/0!,3.888
156,tree,7.3,64,none,0,1.428,#DIV/0!,22.32
156,tree,7.6,48,none,0,3.230,#DIV/0!,67.296
156,corn,7.6,170,none,0,0.861,#DIV/0!,5.064
156,corn,7.3,175,none,0,2.596,#DIV/0!,14.832
157,cereal,2.5,42,none,0,0.24,#DIV/0!,5.714285714
157,cereal,2.5,365,none,0,0.45,#DIV/0!,1.232876712
157,cereal,2.5,365,M,100,1.21,1.21,3.315068493
157,cereal,2.5,365,M,100,1.24,1.24,3.397260274
157,cereal,2.5,365,M,100,1.4,1.4,3.835616438
157,cereal,2.5,42,M,162,0.51,0.314814815,12.14285714
157,cereal,2.5,42,M,162,0.54,0.333333333,12.85714286
157,cereal,2.5,42,M,162,0.59,0.364197531,14.04761905
157,cereal,2.5,42,M,162,0.65,0.401234568,15.47619048
158,grass,,365,UAN,250,3.2,1.28,8.767123288
159,rice,1.43,77,U,200,2.18,1.09,28.31168831
159,rice,1.43,149,U,300,1.26,0.42,8.456375839
159,rice,1.43,92,U,300,1.51,0.503333333,16.41304348
159,rice,1.43,150,U,300,4.14,1.38,27.6
159,none,1.43,189,none,0,0.14,#DIV/0!,0.740740741
159,cereal,1.43,189,U,180,0.2,0.111111111,1.058201058
159,cereal,1.43,189,U,180,0.24,0.133333333,1.26984127
160,rice,1.4,70,UM,400,2.810,0.7025,40.14285714
160,rice,1.4,365,UM,676,3.600,0.532544379,9.863013699
160,rice,1.4,98,U,276,0.280,0.101449275,2.857142857
160,rice,1.4,98,U,276,0.340,0.123188406,3.469387755
160,rice,1.4,70,U,276,0.350,0.126811594,5
160,rice,1.4,365,U,552,1.300,0.235507246,3.561643836
160,rice,1.4,70,none,0,0.180,#DIV/0!,2.571428571
160,rice,1.4,98,none,0,0.230,#DIV/0!,2.346938776
160,rice,1.4,98,none,0,0.260,#DIV/0!,2.653061224
160,rice,1.4,70,M,124,0.300,0.241935484,4.285714286
160,rice,1.4,365,M,124,0.990,0.798387097,2.712328767
160,rice,1.4,365,M,124,1.120,0.903225806,3.068493151
160,other,1.4,163,none,0,0.430,#DIV/0!,2.63803681
160,none,1.4,163,none,0,0.710,#DIV/0!,4.355828221
161,rice,0.9,110,U,100,0.1702,0.1702,1.547272727
161,rice,0.9,110,U,300,0.6182,0.206066667,5.62
161,rice,0.9,110,none,0,0.1366,#DIV/0!,1.241818182
161,rice,0.9,110,A,100,0.1745,0.1745,1.586363636
161,rice,0.9,110,A,300,0.9811,0.327033333,8.919090909
162,cereal,,365,AN,350,1.42,0.405714286,3.890410959
163,grass,,365,M,34,0.0203,0.059705882,0.055616438
163,grass,,365,M,49,0.6813,1.390408163,1.866575342
163,grass,,365,M,54,0.2068,0.382962963,0.566575342
163,grass,,365,M,54,0.697,1.290740741,1.909589041
163,grass,,365,M,56,0.234,0.417857143,0.64109589
163,grass,,365,M,56,0.5663,1.01125,1.551506849
164,corn,,124,U,150,0.537,0.358,4.330645161
164,corn,,124,U,250,0.506,0.2024,4.080645161
164,corn,,124,none,0,0.125,#DIV/0!,1.008064516
