length,pcb,n,lgpcb,year,y
24.21259843,0.7,1,-0.356674944,1984,10
24.60629921,0.9,1,-0.105360516,1984,10
26.1023622,3.7,1,1.30833282,1984,10
26.41732283,2.49,1,0.91228271,1984,10
24.80314961,1.08,1,0.076961041,1984,10
26.2992126,0.91,1,-0.094310679,1984,10
,1.75,1,0.559615788,1984,10
,0.75,1,-0.287682072,1984,10
,0.87,1,-0.139262067,1984,10
,0.77,1,-0.261364764,1984,10
,2.95,1,1.08180517,1984,10
,1.45,1,0.371563556,1984,10
20.70866142,1.14,1,0.131028262,1984,10
19.48818898,0.89,1,-0.116533816,1984,10
20.51181102,1.12,1,0.113328685,1984,10
21.49606299,0.75,1,-0.287682072,1984,10
22.20472441,0.6,1,-0.510825624,1984,10
22.20472441,0.66,1,-0.415515444,1984,10
25.39370079,0.93,1,-0.072570693,1984,10
25.70866142,0.82,1,-0.198450939,1984,10
26.41732283,1.83,1,0.604315967,1984,10
23.11023622,0.45,1,-0.798507696,1984,10
20.11811024,0.37,1,-0.994252273,1984,10
20.51181102,0.96,1,-0.040821995,1984,10
23.81889764,1.35,1,0.300104592,1984,10
24.60629921,2.18,1,0.779324877,1984,10
26.49606299,4.3,1,1.458615023,1984,10
27.20472441,2.55,1,0.936093359,1984,10
25.98425197,1.27,1,0.2390169,1984,10
18.50393701,1.59,1,0.463734016,1984,10
20.90551181,1.01,1,0.009950331,1984,10
19.40944882,0.99,1,-0.010050336,1984,10
19.48818898,0.86,1,-0.15082289,1984,10
24.21259843,1.42,1,0.350656872,1984,10
27.08661417,2.2,1,0.78845736,1984,10
24.68503937,1.53,1,0.425267735,1984,10
25.19685039,1.65,1,0.500775288,1984,10
25.90551181,1.33,1,0.285178942,1984,10
28.18897638,2.88,1,1.057790294,1984,10
26.49606299,1.4,1,0.336472237,1984,10
24.60629921,1.11,1,0.104360015,1984,10
21.1023622,0.76,1,-0.274436846,1984,10
18.11023622,0.64,1,-0.446287103,1984,10
25.78740157,1.08,1,0.076961041,1984,10
22.71653543,0.66,1,-0.415515444,1984,10
22.20472441,0.83,1,-0.186329578,1984,10
22.91338583,0.64,1,-0.446287103,1984,10
28.18897638,0.93,1,-0.072570693,1984,10
19.2,1.3,3,0.262364264,1984,10
24,1.6,1,0.470003629,1984,10
20.3,1.4,4,0.336472237,1984,10
14.96,0.2,1,-1.609437912,1984,10
17.72,0.9,1,-0.105360516,1984,10
13.2,0.84,1,-0.174353387,1984,10
16.65,1.2,1,0.182321557,1984,10
13.66,0.63,1,-0.46203546,1984,10
24.4,2.6,1,0.955511445,1984,10
12.6,0.62,1,-0.478035801,1984,10
14.09,1,1,0,1984,10
11.57,0.62,1,-0.478035801,1984,10
11.93,0.54,1,-0.616186139,1984,10
20.4,2,1,0.693147181,1984,10
13.27,0.56,1,-0.579818495,1984,10
14.13,0.65,1,-0.430782916,1984,10
14.72,0.55,1,-0.597837001,1984,10
12.64,0.72,1,-0.328504067,1984,10
23.38,4.6,1,1.526056303,1984,10
23.31,2.1,1,0.741937345,1984,10
29.2,11,1,2.397895273,1984,10
17.6,1.1,1,0.09531018,1984,10
11.7,0.27,1,-1.30933332,1984,10
11.9,0.46,1,-0.776528789,1984,10
15,1,2,0,1984,10
19.5,1.3,1,0.262364264,1984,10
23,1.9,2,0.641853886,1984,10
28.3,5.4,1,1.686398954,1984,10
21.25,1.5,2,0.405465108,1984,10
24,3.7,2,1.30833282,1984,10
31.25,4.2,1,1.435084525,1984,10
31,3.3,1,1.193922468,1984,10
23.75,2.2,1,0.78845736,1984,10
22,1.8,1,0.587786665,1984,10
25.75,2.4,1,0.875468737,1984,10
23.5,1.7,1,0.530628251,1984,10
31.75,6.8,1,1.916922612,1984,10
26.7,3.7,1,1.30833282,1984,10
34,17,1,2.833213344,1985,11
31,15,1,2.708050201,1985,11
23.5,1.1,1,0.09531018,1985,11
13.03,0.88,1,-0.127833372,1985,11
18.3,0.45,1,-0.798507696,1985,11
30.7,9.8,1,2.282382386,1985,11
30.9,5.7,1,1.740466175,1985,11
25.39,2.6,1,0.955511445,1985,11
22.04,1.3,1,0.262364264,1985,11
22.24,1.3,1,0.262364264,1985,11
25.47,2,1,0.693147181,1985,11
26.68,5,1,1.609437912,1985,11
24.41,2.4,1,0.875468737,1985,11
24.21,1.5,1,0.405465108,1985,11
26.57,3.1,1,1.131402111,1985,11
31.1,14,1,2.63905733,1985,11
20.47,1.4,1,0.336472237,1985,11
20.47,1.1,1,0.09531018,1985,11
22.4,1.5,1,0.405465108,1985,11
22.24,1.3,1,0.262364264,1985,11
24.8,2.4,1,0.875468737,1985,11
25.98,3.1,1,1.131402111,1985,11
26.38,3.9,1,1.360976553,1985,11
31.3,4.9,1,1.589235205,1985,11
18.09,1.2,1,0.182321557,1985,11
21.85,1,1,0,1985,11
15.39,0.63,1,-0.46203546,1985,11
15.51,0.64,1,-0.446287103,1985,11
15.47,0.68,1,-0.385662481,1985,11
15.55,0.7,1,-0.356674944,1985,11
15.67,0.79,1,-0.235722334,1985,11
15.79,0.55,1,-0.597837001,1985,11
16.69,0.95,1,-0.051293294,1985,11
16.65,0.96,1,-0.040821995,1985,11
16.38,0.66,1,-0.415515444,1985,11
16.97,1.2,1,0.182321557,1985,11
17.36,0.7,1,-0.356674944,1985,11
18.46,0.94,1,-0.061875404,1985,11
18.58,0.87,1,-0.139262067,1985,11
28.94,9.7,1,2.272125886,1985,11
31.1,8.1,1,2.091864062,1985,11
25.98,3.6,1,1.280933845,1985,11
28.74,3.5,1,1.252762968,1985,11
28.15,4.8,1,1.568615918,1985,11
26.97,4.5,1,1.504077397,1985,11
23.67,1.7,1,0.530628251,1985,11
24.41,1.9,1,0.641853886,1985,11
34.06,15,1,2.708050201,1985,11
33.27,10,1,2.302585093,1985,11
28.15,4.8,1,1.568615918,1985,11
30.12,11,1,2.397895273,1985,11
29.92,7.1,1,1.960094784,1985,11
31.69,5.3,1,1.667706821,1985,11
28.54,6.3,1,1.840549633,1985,11
27.56,2.6,1,0.955511445,1985,11
28.74,3.3,1,1.193922468,1985,11
31.89,7.8,1,2.054123734,1985,11
34.64,8,1,2.079441542,1985,11
27.36,3.3,1,1.193922468,1985,11
28.54,4.4,1,1.481604541,1985,11
21.06,0.76,1,-0.274436846,1985,11
30.12,5.6,1,1.722766598,1985,11
28.94,4.3,1,1.458615023,1985,11
24.61,2.8,1,1.029619417,1985,11
26.97,8,1,2.079441542,1985,11
24.8,7.2,1,1.974081026,1985,11
21.85,1.1,1,0.09531018,1985,11
22.44,1.1,1,0.09531018,1985,11
24.21,1.2,1,0.182321557,1985,11
26.97,4.2,1,1.435084525,1985,11
26.77,3.2,1,1.16315081,1985,11
31.1,5.2,1,1.648658626,1985,11
27.76,3,1,1.098612289,1985,11
30.12,7.3,1,1.987874348,1985,11
24,2.5,1,0.916290732,1985,11
24.8,3.1,1,1.131402111,1985,11
12.1,0.5,1,-0.693147181,1985,11
12.2,0.43,1,-0.84397007,1985,11
13.5,0.54,1,-0.616186139,1985,11
13.5,0.65,1,-0.430782916,1985,11
13.5,0.65,1,-0.430782916,1985,11
15.2,1.2,1,0.182321557,1985,11
15.5,0.58,1,-0.544727175,1985,11
16.8,0.78,1,-0.248461359,1985,11
15.7,0.83,1,-0.186329578,1985,11
18.8,1.5,1,0.405465108,1985,11
20.5,1.4,1,0.336472237,1985,11
20.8,1.5,1,0.405465108,1985,11
21,1,1,0,1985,11
22.1,1.4,1,0.336472237,1985,11
22.2,1.6,1,0.470003629,1985,11
19.13,0.75,1,-0.287682072,1985,11
30.51,6.8,1,1.916922612,1985,11
21.6,2.2,1,0.78845736,1985,11
22.6,1.7,1,0.530628251,1985,11
22.6,1.8,1,0.587786665,1985,11
22.6,1.5,1,0.405465108,1985,11
26,3,1,1.098612289,1985,11
24.2,2.5,1,0.916290732,1985,11
22.8,1.9,1,0.641853886,1985,11
30.31,5,1,1.609437912,1985,11
27.76,6.9,1,1.931521412,1985,11
29.92,8.6,1,2.151762203,1985,11
26.57,3.3,1,1.193922468,1985,11
25.98,4.4,1,1.481604541,1985,11
28.15,9,1,2.197224577,1985,11
26.77,4.8,1,1.568615918,1985,11
26.38,5.8,1,1.757857918,1985,11
30.71,8.4,1,2.128231706,1985,11
26.18,3.3,1,1.193922468,1985,11
27.95,4.3,1,1.458615023,1985,11
29.33,2.9,1,1.064710737,1985,11
28.74,8.2,1,2.104134154,1985,11
29.33,6.2,1,1.824549292,1985,11
29.92,7.3,1,1.987874348,1985,11
24.41,2.5,1,0.916290732,1985,11
30.71,8,1,2.079441542,1985,11
30.12,4.5,1,1.504077397,1985,11
20.08,2.8,1,1.029619417,1985,11
23.86,2,1,0.693147181,1985,11
32.28,8.5,1,2.140066163,1985,11
25.98,4,1,1.386294361,1985,11
22.4,1.4,1,0.336472237,1985,11
22.64,2.3,1,0.832909123,1985,11
23.94,2.4,1,0.875468737,1985,11
24.09,2.1,1,0.741937345,1985,11
24.41,2.7,1,0.993251773,1985,11
24.41,2.4,1,0.875468737,1985,11
24.72,4.4,1,1.481604541,1985,11
25.39,3.1,1,1.131402111,1985,11
