bathy,chla,D.coast,D.ice,D.inswb,D.slp,S.bathy,W.mass,A.v50,A.v75,A.v100,A.v300,A.v500,A.v300.2,A.v500.2,A.v500.3,year,Lat,Lon,MN,MN.G,BA,BA.G,TW
-330.3285,0.1059012,14080.13,28040.15,29154.76,30000,2.91734,0.77867,-72.91,-72.55,-64.52,-61.31,-61.59,-60.59,-61.13,-62.5,2001,-69.073,-72.5225,0,0,0,0,0
-170.7501,0.08931201,25000,27950.85,31622.78,42720.02,0.5585408,0.8846255,-77.5,-69.15,-64.97,-57.82,-57.82,-55.76,-55.76,NA,2001,-69.1763,-72.7543,0,0,0,0,0
-373.3456,0.09005984,81745.03,94944.72,7071.068,74330.34,0.2779683,1.081107,-80.29,-80.58,-78.03,-66.52,-66.38,-65.25,-65.28,-65.36,2001,-68.9923,-74.9222,0,0,0,0,0
-378.5874,0.09160658,79072.75,91160.57,7071.068,79056.95,0.2779683,1.091439,-91.96,-86.57,-80.15,-64.6,-64.98,-63.28,-64.02,-66.31,2001,-69.0175,-74.8465,0,0,0,0,0
-376.3405,0.09470173,76231.55,86805.82,7071.068,79056.95,0.1688558,1.101325,-74.81,-75.14,-75.44,-63.53,-63.92,-62.26,-63.02,-65.16,2001,-69.0495,-74.766,0,0,0,0,0
-365.597,0.09470173,73583.29,82453.02,0,85146.93,0.1354746,1.101325,-81.58,-81.69,-78.96,-65.71,-65.57,-64.41,-64.64,-65.12,2001,-69.0777,-74.6763,0,0,0,0,0
-438.2064,0.09779653,71352.99,77956.72,5000,80622.58,0.3827197,1.090928,-81.33,-80.7,-77.58,-65.33,-65.58,-64.04,-64.81,-66.02,2001,-69.1047,-74.5792,0,0,0,0,0
-404.9527,0.1180082,98478.42,93107.46,33541.02,26925.82,0.3683501,1.311956,-83.35,-83.35,-83.35,-72.71,-71.51,-72.27,-71.26,-70.33,2001,-68.9598,-76.5387,0,0,0,0,0
-416.1397,0.1159787,102865.2,95724.87,38078.87,22360.68,0.2695275,1.410116,-80.33,-81.61,-79.32,-76,-74.53,-75.23,-73.89,-72.12,2001,-68.9283,-76.6338,0,0,0,0,0
-397.185,0.1117362,107872.6,98612.88,44721.36,15811.39,0.2468422,1.559765,-84.46,-85.23,-85.23,-72.46,-71.45,-71.53,-70.85,-69.93,2001,-68.8963,-76.7273,0,0,0,0,0
-392.9108,0.1088916,112430,100977.7,51478.15,10000,0.1096508,1.648596,-83.34,-82.97,-82.9,-74.12,-72.02,-73.05,-71.25,-69,2001,-68.8658,-76.818,0,0,0,0,0
-399.8563,0.1068544,117508.5,103823.2,51478.15,10000,3.760001,1.701819,-78.53,-79.02,-79.3,-75.35,-73.16,-74.49,-72.43,-69.96,2001,-68.8335,-76.9133,0,0,0,0,0
-529.6025,0.1051821,121393,106219.1,58309.52,5000,3.760001,1.748619,-83.11,-81.32,-80.97,-81.35,-81.59,-81.49,-81.74,-82.19,2001,-68.809,-76.9845,0,0,0,0,0
-506.2441,0.1750945,61002.05,36496.57,0,57008.77,1.190675,1.174578,NA,NA,NA,NA,NA,NA,NA,NA,2001,-68.237,-70.9338,0,0,0,0,0
-589.5406,0.2144889,66272.16,42807.71,5000,60827.63,1.089998,1.214842,NA,NA,NA,NA,NA,NA,NA,NA,2001,-68.1742,-70.8383,0,0,0,0,0
-813.7664,0.3425585,70945.4,48386.46,11180.34,60000,1.818789,1.298429,NA,NA,NA,NA,NA,NA,NA,NA,2001,-68.1212,-70.6193,0,0,0,0,0
-869.6638,0.3885886,67039.16,52974.05,21213.2,65764.73,0.5354206,1.349822,NA,NA,NA,NA,NA,NA,NA,NA,2001,-68.0727,-70.4532,0,0,0,0,0
