DATE,INSTITUTION,TP,SECCHI,LAT,LONG,YEAR,SEASON,DISTANCE
10/25/2011,NOAA,21.5,2.3,41.675,-82.727,2011,Late,0.7699
6/7/2012,ODNR,21.5,,41.839,-83.055,2012,Early,0.4645
9/26/2013,OEPA,21.5,,41.685,-82.9333,2013,Late,0.5638
8/10/2010,Toledo,21.7,2,41.75,-83.104,2010,Mid,0.3969
7/2/2012,Toledo,21.7,2.7,41.789,-83.356,2012,Mid,0.1688
6/14/2010,NOAA,21.75,1.4,41.886,-83.319,2010,Early,0.2598
9/5/2012,NOAA,21.75,2,41.826,-83.194,2012,Late,0.3302
10/8/2013,Toledo,21.8,2.4,41.751,-83.103,2013,Late,0.3973
7/15/2013,OSU,21.84,2,41.56,-82.913,2013,Mid,0.6001
9/5/2013,OEPA,21.9,,41.7267,-83.15,2013,Late,0.3483
5/14/2013,OEPA,22,,41.70163,-83.37407,2013,Early,0.123
10/7/2010,NOAA,22.06,1.7,41.805,-83.255,2010,Late,0.2653
7/12/2011,NOAA,22.09,2,41.754,-83.319,2011,Mid,0.1873
8/29/2013,Toledo,22.1,2.5,41.75,-83.104,2013,Mid,0.3965
7/12/2011,NOAA,22.2,3.7,41.834,-83.191,2011,Mid,0.3356
8/2/2010,NOAA,22.26,1.9,41.805,-83.256,2010,Mid,0.2644
8/23/2011,NOAA,22.36,1.6,41.886,-82.874,2011,Mid,0.6515
8/1/2011,NOAA,22.51,1.5,41.921,-83.205,2011,Mid,0.3678
5/15/2012,NOAA,22.52,2.1,41.705,-83.385,2012,Early,0.1121
10/7/2010,NOAA,22.53,4.3,41.834,-83.364,2010,Late,0.191
8/29/2013,Toledo,22.8,2.2,41.733,-83.297,2013,Mid,0.2033
7/31/2012,NOAA,22.82,2.1,41.826,-83.193,2012,Mid,0.3306
9/25/2013,OEPA,22.9,,41.76832,-83.3008,2013,Late,0.209
8/5/2011,Toledo,23,2.9,41.821,-83.186,2011,Mid,0.3348
7/16/2012,Toledo,23,1.8,41.789,-83.356,2012,Mid,0.1688
4/4/2013,OEPA,23,,41.76832,-83.3008,2013,Early,0.209
9/19/2013,Toledo,23,1.6,41.821,-83.186,2013,Late,0.3347
9/12/2011,NOAA,23.01,2,41.806,-83.169,2011,Late,0.3455
8/27/2012,Toledo,23.1,1.4,41.734,-83.297,2012,Mid,0.2034
6/22/2012,NOAA,23.11,1,41.763,-83.33,2012,Early,0.1798
5/15/2012,NOAA,23.16,1.2,41.834,-83.364,2012,Early,0.1913
9/10/2010,NOAA,23.21,1.1,41.834,-83.192,2010,Late,0.3347
7/19/2010,NOAA,23.32,1.6,41.804,-83.319,2010,Mid,0.208
9/15/2010,Toledo,23.4,1.7,41.75,-83.104,2010,Late,0.3968
9/5/2012,NOAA,23.41,1.9,41.561,-82.907,2012,Late,0.6052
7/22/2013,OSU,23.42,1.98,41.569,-82.768,2013,Mid,0.74
7/6/2010,NOAA,23.48,2.5,41.859,-83.264,2010,Mid,0.2846
7/22/2011,Toledo,23.5,2.3,41.75,-83.104,2011,Mid,0.3966
10/25/2011,NOAA,23.55,1.2,41.742,-82.639,2011,Late,0.8593
6/25/2010,Toledo,23.6,1.5,41.821,-83.186,2010,Early,0.3349
7/16/2012,Toledo,23.6,1.2,41.734,-83.297,2012,Mid,0.2036
7/29/2013,OSU,23.61,1.76,41.562,-82.892,2013,Mid,0.6192
7/26/2010,NOAA,23.67,1.3,41.804,-83.256,2010,Mid,0.2638
7/6/2010,NOAA,23.78,1.9,41.765,-83.401,2010,Mid,0.1177
