Plot,Species,High class,Numb,type
30,?????,1,6,dominant
32,?????,1,4,dominant
40,?????,1,2,dominant
40,?????,0.5,2,dominant
41,?????,1,3,dominant
43,?????,1,2,dominant
43,?????,0.5,1,dominant
44,?????,1,2,dominant
45,?????,1,3,dominant
51,?????,1,2,dominant
52,?????,1,1,dominant
53,?????,1,6,dominant
54,?????,1,4,dominant
55,?????,0.5,7,dominant
56,?????,1,1,dominant
62,?????,1,3,dominant
71,?????,1,2,dominant
71,?????,0.5,3,dominant
72,?????,1,2,dominant
75,?????,0.5,2,dominant
76,?????,1,4,dominant
77,?????,1,2,dominant
77,?????,0.5,1,dominant
79,?????,1,3,dominant
85,?????,1,3,dominant
88,?????,1,3,dominant
93,?????,1,4,dominant
93,?????,0.5,2,dominant
96,?????,1,4,dominant
105,?????,1,1,dominant
110,?????,1,2,dominant
113,?????,1,1,dominant
114,?????,1,1,dominant
119,?????,1,10,dominant
121,?????,1,5,dominant
122,?????,1,5,dominant
123,?????,1,4,dominant
127,?????,1,4,dominant
1,??,0.5,1,pioneer
5,??,1,2,pioneer
7,??,0.5,2,pioneer
8,??,0.5,1,pioneer
12,??,0.5,1,pioneer
13,??,0.5,1,pioneer
16,??,0.5,1,pioneer
17,??,0.5,3,pioneer
21,??,0.5,1,pioneer
26,??,1,1,pioneer
30,??,1,2,pioneer
31,??,0.5,1,pioneer
35,??,1,1,pioneer
37,??,0.5,1,pioneer
40,??,1,1,pioneer
42,??,0.5,1,pioneer
47,??,0.5,2,pioneer
48,??,1,1,pioneer
51,??,0.5,1,pioneer
52,??,0.5,1,pioneer
59,??,1,1,pioneer
60,??,1,1,pioneer
68,??,0.5,1,pioneer
69,??,0.5,1,pioneer
71,??,0.5,1,pioneer
72,??,0.5,2,pioneer
80,??,0.5,1,pioneer
82,??,0.5,2,pioneer
83,??,1,1,pioneer
85,??,1,1,pioneer
93,??,0.5,1,pioneer
106,??,0.5,1,pioneer
109,??,0.5,1,pioneer
112,??,0.5,1,pioneer
2,???,0.5,1,tolerant
6,???,0.5,1,tolerant
22,???,1,1,tolerant
23,???,1,1,tolerant
29,???,1,1,tolerant
